Time,True_theta,True_theta_dot,Meas_theta,Meas_theta_dot,Est_theta,Est_theta_dot
1.9,0.100976,-0.00119092,0.478234,-0.120776,0.104366,-0.0396586
1.91,0.100965,-0.00108894,-0.375909,-0.0475281,0.105133,-0.0382666
1.92,0.100954,-0.000986544,0.74349,-0.314847,0.103513,-0.0369624
1.93,0.100945,-0.000883819,-0.212865,-0.433389,0.105385,-0.0395314
1.94,0.100936,-0.00078087,-0.0368849,-0.0648591,0.104926,-0.0453042
1.95,0.100929,-0.000677801,-0.228859,-0.269276,0.104123,-0.0479239
1.96,0.100923,-0.000574713,-0.503911,0.206362,0.103216,-0.0493863
1.97,0.100918,-0.000471706,-0.148816,-0.465954,0.100634,-0.0439571
1.98,0.100913,-0.000368881,-0.0437032,-0.357351,0.100376,-0.0490832
1.99,0.10091,-0.000266338,-0.641517,-0.598569,0.100152,-0.0481313
2,0.100908,-0.000164175,-0.188126,0.772508,0.0987889,-0.0581977
2.01,0.100857,-0.0100296,-0.0796182,-0.677541,0.0957698,-0.0528996
2.02,0.100708,-0.0198236,0.164235,0.73359,0.0959285,-0.073713
2.03,0.100461,-0.0295371,0.564292,-0.803358,0.0936679,-0.0780403
2.04,0.100117,-0.039161,0.051825,-0.177682,0.0954849,-0.0989233
2.05,0.099678,-0.0486866,0.782618,-0.571845,0.0944792,-0.108505
2.06,0.099144,-0.058105,0.214823,-0.333493,0.0960625,-0.123517
2.07,0.0985163,-0.0674078,0.649713,0.574873,0.09549,-0.136124
2.08,0.0977962,-0.0765866,0.830717,0.0212114,0.0940888,-0.139066
2.09,0.096985,-0.0856332,0.197713,-0.302253,0.0942351,-0.148716
2.1,0.096084,-0.0945396,0.509378,-0.0201101,0.0932966,-0.155308
2.11,0.0950947,-0.103298,0.458615,0.257852,0.0924928,-0.164579
2.12,0.0940186,-0.111901,-0.19959,-0.715962,0.0909523,-0.161641
2.13,0.0928572,-0.12034,-0.255558,-0.40532,0.0896457,-0.174106
2.14,0.0916123,-0.128609,0.241853,-0.518626,0.0874054,-0.185479
2.15,0.0902856,-0.136701,0.311392,-0.436792,0.0865504,-0.200407
2.16,0.0888789,-0.144608,0.659283,-0.14534,0.0855792,-0.208277
2.17,0.0873941,-0.152325,0.0464445,-0.342852,0.0848192,-0.216046
2.18,0.0858331,-0.159845,0.270851,0.259227,0.0827337,-0.22947
2.19,0.0841979,-0.167161,0.684398,-0.421771,0.0799332,-0.226963
2.2,0.0824906,-0.174268,0.34802,-1.34095,0.0795956,-0.236084
2.21,0.0807133,-0.18116,0.623101,-0.474123,0.0801128,-0.256326
2.22,0.0788681,-0.187833,0.799141,-0.0969974,0.0793668,-0.265715
2.23,0.0769574,-0.194279,0.646705,-0.17211,0.0782011,-0.272114
2.24,0.0749833,-0.200496,0.236056,-0.588938,0.0767548,-0.273481
2.25,0.0729482,-0.206478,0.841529,-0.154417,0.0750579,-0.280029
2.26,0.0708545,-0.21222,0.169275,0.175098,0.0739752,-0.284253
2.27,0.0687046,-0.217719,-0.773794,-0.26404,0.0704397,-0.282376
2.28,0.066501,-0.222971,0.608594,0.210213,0.0653292,-0.289436
2.29,0.0642461,-0.227972,-0.00017476,0.0608084,0.0628168,-0.28903
2.3,0.0619424,-0.232719,-0.451483,-0.175457,0.059063,-0.285258
2.31,0.0595925,-0.237209,-0.209745,-0.45247,0.0546353,-0.288071
2.32,0.0571991,-0.241438,-0.915438,-1.05505,0.0513464,-0.297971
2.33,0.0547646,-0.245405,0.963566,0.163619,0.047425,-0.299912
2.34,0.0522918,-0.249108,-0.353802,-1.03805,0.0458387,-0.30167
2.35,0.0497834,-0.252544,0.300685,0.418227,0.0432872,-0.307706
2.36,0.0472419,-0.255711,0.0667863,-0.592215,0.039423,-0.300054
2.37,0.0446701,-0.258608,0.524835,0.489915,0.0370657,-0.30671
2.38,0.0420706,-0.261235,0.317602,-0.227225,0.0336644,-0.29896
